ID,Avaliacao,Comentario,DataPublicacao
905,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-07-18
906,5,"Impressionante, respondeu tudo com clareza.",2023-11-03
907,4,"O assistente é bom e prestativo.",2023-06-30
908,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-12-10
909,4,"Foi bem útil e quase perfeito.",2023-03-10
910,2,"Foi útil em partes, mas faltou precisão.",2023-03-09
911,3,"Consegui entender, mas tive que pesquisar mais.",2023-09-26
912,1,"A resposta estava incompleta e não foi útil.",2023-03-29
913,4,"Consegui o que precisava sem dificuldades.",2023-12-10
914,4,"Gostei, mas poderia ter mais informações.",2023-12-20
915,2,"A resposta foi um pouco confusa.",2023-01-13
916,5,"Resposta clara e completa, me ajudou muito.",2023-07-10
917,5,"Muito satisfeito com o atendimento.",2023-04-28
918,4,"Gostei, mas poderia ter mais informações.",2023-04-25
919,3,"Satisfeito, mas poderia ser mais detalhado.",2023-10-30
920,3,"Ajudou no geral, mas não foi perfeito.",2023-01-24
921,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-03-11
922,2,"A resposta foi um pouco confusa.",2023-09-05
923,5,"Muito satisfeito com o atendimento.",2023-02-21
924,5,"A experiência foi excelente, muito prestativo!",2023-12-21
925,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-10-16
926,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-03-10
927,5,"Achei a resposta perfeita e esclarecedora.",2023-08-15
928,4,"Gostei, mas poderia ter mais informações.",2023-10-30
929,4,"Consegui o que precisava sem dificuldades.",2023-12-05
930,2,"Esperava uma ajuda mais aprofundada.",2023-05-19
931,5,"Muito satisfeito com o atendimento.",2023-07-03
932,2,"A resposta foi um pouco confusa.",2023-09-23
933,4,"A resposta foi bem explicada e direta.",2023-02-02
934,4,"A resposta foi bem explicada e direta.",2023-01-30
935,3,"A resposta foi clara, mas faltaram exemplos.",2023-07-14
936,4,"Foi bem útil e quase perfeito.",2023-05-20
937,2,"Respondeu parcialmente, mas não o suficiente.",2023-10-23
938,4,"A resposta foi bem explicada e direta.",2023-03-15
939,2,"Respondeu parcialmente, mas não o suficiente.",2023-04-18
940,5,"Achei a resposta perfeita e esclarecedora.",2023-02-08
941,4,"A resposta foi bem explicada e direta.",2023-06-27
942,4,"O assistente é bom e prestativo.",2023-09-28
943,4,"O assistente é bom e prestativo.",2023-11-19
944,1,"Não consegui encontrar o que precisava.",2023-09-17
945,4,"O assistente é bom e prestativo.",2023-08-25
946,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-08-01
947,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-12-04
948,3,"Satisfeito, mas poderia ser mais detalhado.",2023-12-26
949,5,"Muito satisfeito com o atendimento.",2023-06-23
950,2,"A resposta foi um pouco confusa.",2023-07-03
951,4,"A resposta foi bem explicada e direta.",2023-06-12
952,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-05-26
953,4,"Consegui o que precisava sem dificuldades.",2023-07-18
954,5,"Impressionante, respondeu tudo com clareza.",2023-10-18
955,2,"Foi útil em partes, mas faltou precisão.",2023-07-13
956,5,"Muito satisfeito com o atendimento.",2023-01-28
957,4,"Gostei, mas poderia ter mais informações.",2023-11-10
958,5,"Muito satisfeito com o atendimento.",2023-09-14
959,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-01-31
960,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-11-18
961,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-12-17
962,3,"Ajudou no geral, mas não foi perfeito.",2023-12-31
963,1,"Tive que repetir a pergunta várias vezes.",2023-10-18
964,5,"Impressionante, respondeu tudo com clareza.",2023-11-29
965,4,"Gostei, mas poderia ter mais informações.",2023-09-27
966,4,"A resposta foi bem explicada e direta.",2023-10-22
967,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-04-06
968,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-11-27
969,1,"Não consegui encontrar o que precisava.",2023-06-30
970,1,"A resposta estava incompleta e não foi útil.",2023-08-20
971,1,"Não consegui encontrar o que precisava.",2023-09-16
972,5,"A experiência foi excelente, muito prestativo!",2023-03-13
973,3,"A resposta foi clara, mas faltaram exemplos.",2023-06-30
974,2,"A resposta foi um pouco confusa.",2023-03-14
975,1,"Não consegui encontrar o que precisava.",2023-06-14
976,5,"Impressionante, respondeu tudo com clareza.",2023-10-18
977,5,"Muito satisfeito com o atendimento.",2023-02-17
978,4,"A resposta foi bem explicada e direta.",2023-09-10
979,3,"Ajudou no geral, mas não foi perfeito.",2023-12-01
980,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-11-23
981,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-10-06
982,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-03-31
983,3,"Ajudou no geral, mas não foi perfeito.",2023-12-20
984,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-12-02
985,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-12-15
986,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-06-18
987,4,"Consegui o que precisava sem dificuldades.",2023-03-25
988,3,"Ajudou no geral, mas não foi perfeito.",2023-05-28
989,1,"Não resolveu meu problema.",2023-08-24
990,3,"Satisfeito, mas poderia ser mais detalhado.",2023-04-01
991,3,"A resposta foi clara, mas faltaram exemplos.",2023-07-17
992,2,"Foi útil em partes, mas faltou precisão.",2023-01-03
993,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-03-31
994,3,"Consegui entender, mas tive que pesquisar mais.",2023-08-09
995,3,"Ajudou no geral, mas não foi perfeito.",2023-08-22
996,2,"A resposta foi um pouco confusa.",2023-07-24
997,2,"Foi útil em partes, mas faltou precisão.",2023-11-24
998,3,"A resposta foi clara, mas faltaram exemplos.",2023-04-17
999,5,"Achei a resposta perfeita e esclarecedora.",2023-06-11
1000,4,"Consegui o que precisava sem dificuldades.",2023-10-24
